sku,Código de Producto (D365),Precio Unitario (25-10 al 01-11) 2024,Precio Unitario Evento (07-11 al 12-11) 2024,Precio Unitario (15-11 al 22-11) 2024,Precio Unitario (22-11 al 29-11) 2024,Precio Unitario (29-11 al 11-12) 2024,Precio Unitario (11-12 al 18-12) 2024,Precio Unitario (18-12 al 25-12)2024,Precio Unitario (26-12-2024 al 08-01-2025) ,Precio Unitario (08-01 al 15-01) 2025,Precio Unitario (15-01 al 22-01) 2025,Precio Unitario (22-01 al 29-01) 2025,Precio Unitario (Summer Sale) Enero / FEbrero 2025,Precio Unitario (19-02 al 26-02) 2025,Precio Unitario (26-02 al 05-03) 2025,Precio Unitario (05-03 al 12-03) 2025,Precio Unitario (12-03 al 19-03) 2025,Precio Unitario (19-03 al 26-03) 2025,Precio Unitario (26-03 al 02-04) 2025,Pre Hot Sale 2025 ,Pre Hot Sale 2 2025,Precio Unitario (23-04 al 30-04) 2025,Precio Unitario (30-04 al 07-05) 2025,Hot Week 2025,Post HOTSALE 2025,Precio Unitario (04-06 al 11-06) 2025,Precio Unitario (11-06 al 18-06) 2025,Precio Unitario (18-06 al 25-06) 2025,Precio Unitario (25-06 al 02-07) 2025,Precio Unitario (02-07 al 09-07) 2025,Precio Unitario (09-07 al 16-07) 2025,Precio Unitario (16-07 al 23-07) 2025,Dia del Niño 2025 2025,Precio Unitario (23-07 al 30-07) 2025,Precio Unitario (30-07 al 06-08) 2025,Precio Unitario (06-08 al 13-08) 2025,Precio Unitario (13-08 al 20-08) 2025,Precio Unitario (20-08 al 27-08) 2025,Precio Unitario (27-08 al 03-09) 2025,Precio Unitario (03-09 al 10-09) 2025,Precio Unitario (10-09 al 17-09) 2025,Precio Unitario (17-09 al 24-09) 2025,Precio Unitario (24-09 al 01-10) 2025,Liq Julio 2025 invierno,Pre CyberSale 2025,Blackfriday 2025,Especial Fiestas 2025 fin de año,Summer Sale 2026 enero,Precio LIQUIDACION ENERO/FEBRERO 2026  unitario neto
VN1UTC0033,CUTI-ALAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,45",,, , , ,"2,45", ,
BR1ACN0001,DAMI-1500,,,,,,,,,,,,,,,,,,,,,,"125,00",,,,,,,,,,,,"125,00",,,,"125,00",,,,, , ,"93,75", , ,
VN1OGH0020,BOBC-OBB1,,"9,66",,,"10,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , ,
MI1AMO0005,DACI-0430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , ,"14,63"
KU1SMB0017,FSSI-0001,,,,"86,00",,,,"79,00",,,,"76,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , ,
ET1LDE0004,BI1GUNA,,,,,,"9,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , ,
BR1ACC0024,DATI-AD90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,"3,06", , ,
BR1CNM0070,CIA-020G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,67", , , , , ,
VN1RCC0024,CCAI-SN24,,"6,62",,,"7,50",,,,,,,,"5,95",,,,,,,,,,"5,95",,,,,,,,,,,,,,,,,,,, , , , , ,"6,25"
VN1PRR0008,PEG01A,"45,88",,,,"39,90",,,,,,,"35,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , ,
VN1SLL0029,CMII-STGR,,"21,00",,,"21,00",,,,,,,,"17,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , ,
GA1ACB0022,AAB-045,,,,,,,,,,,,,,,,,,,,,"12,00",,,,,,,,"12,00",,,,,,,,,,,,,, , ,"7,20", , ,
GA1ACB0023,AAB-045J,,"15,80",,,,,,,,,,,,,,,,,"15,00",,,,,,,,,,"15,00",,,,,,,,,,,,,, , ,"10,32", , ,"9,46"
