MES,UNIDAD DE NEGOCIO,NOMBRE COMERCIAL- FECHA,TIPO DE ACCION,OBJETIVO,CANAL PRIMARIO,Presupuesto Estimado (% Revenue),KPI Esperado - ROAS,KPI Esperado - Conversión,KPI Esperado - Ticket Promedio,Revenue Incremental Proyectado,Margen Esperado (%),Segmentación (TOFU/MOFU/BOFU),Responsable,Estado,Notas
ENERO,TU,Año Nuevo (01/01/2026),Descuento directo + Liquidación,,,,,,,,,,,,
,,Día de Reyes (06/01/2026),Bundles por categoría,,,,,,,,,,,,
,,Rebajas de Verano (15-31/01/2026),Descuento directo + Liquidación,,,,,,,,,,,,
,,Vuelta al Cole (20-31/01/2026),Bundles por categoría,,,,,,,,,,,,
,,Semana de Cuotas (25-31/01/2026),Financiación sin interés,,,,,,,,,,,,
,CEG TRADICIONAL,Rebajas de Verano,,,,,,,,,,,,,
,,Vuelta al Cole,,,,,,,,,,,,,
,,Semana de Cuotas,,,,,,,,,,,,,
,CEG EXPRES,Rebajas de Verano,,,,,,,,,,,,,
,,Vuelta al Cole,,,,,,,,,,,,,
,,Semana de Cuotas,,,,,,,,,,,,,
,XXXX,Rebajas de Verano,,,,,,,,,,,,,
,,Vuelta al Cole,,,,,,,,,,,,,
,,Semana de Cuotas,,,,,,,,,,,,,
FEBRERO,TU,San Valentín (14/02/2026),Bundles emocionales,,,,,,,,,,,,
,,Carnaval Flash Sale (08-10/02/2026),Descuento 48hs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,CEG TRADICIONAL,San Valentín,,,,,,,,,,,,,
,,Carnaval Flash Sale,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,CEG EXPRES,San Valentín,,,,,,,,,,,,,
,,Carnaval Flash Sale,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,XXXX,San Valentín,,,,,,,,,,,,,
,,Carnaval Flash Sale,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MARZO,TU,Día Internacional de la Mujer (08/03/2026),Campaña temática + Promo categoría,,,,,,,,,,,,
,,Día del Consumidor (15/03/2026),Descuento + Envío Gratis,,,,,,,,,,,,
,,Cambio de Temporada (20-31/03/2026),Lanzamiento nueva colección,,,,,,,,,,,,
,CEG TRADICIONAL,Día Internacional de la Mujer,,,,,,,,,,,,,
,,Día del Consumidor,,,,,,,,,,,,,
,,Cambio de Temporada,,,,,,,,,,,,,
,CEG EXPRES,Día Internacional de la Mujer,,,,,,,,,,,,,
,,Día del Consumidor,,,,,,,,,,,,,
,,Cambio de Temporada,,,,,,,,,,,,,
,XXXX,Día Internacional de la Mujer,,,,,,,,,,,,,
,,Día del Consumidor,,,,,,,,,,,,,
,,Cambio de Temporada,,,,,,,,,,,,,
ABRIL,TU,Semana Santa (18-24/04/2026),Promo por categoría,,,,,,,,,,,,
,,Hot Sale (13-17/04/2026),Descuento escalonado + Bundles,,,,,,,,,,,,
,,Día de la Tierra (22/04/2026),Campaña sustentable,,,,,,,,,,,,
,CEG TRADICIONAL,Semana Santa,,,,,,,,,,,,,
,,Hot Sale,,,,,,,,,,,,,
,,Día de la Tierra,,,,,,,,,,,,,
,CEG EXPRES,Semana Santa,,,,,,,,,,,,,
,,Hot Sale,,,,,,,,,,,,,
,,Día de la Tierra,,,,,,,,,,,,,
,XXXX,Semana Santa,,,,,,,,,,,,,
,,Hot Sale,,,,,,,,,,,,,
,,Día de la Tierra,,,,,,,,,,,,,
