id,name,code,sku,base_price,fob,brand_name,last_importation_date,category_name,ean13
7684,Rinconero para zócalo de aluminio 120 mm PZ12LM mate,RZ12M,GB1ACC0006,0.83,0.69,Global EMR,"9 sept 2022, 21:00:00",Zócalos,null
7685,Clip zócalo para pata plástica,CL.1015G,GB1ACC0007,0.092,0.08,Global EMR,"9 sept 2022, 21:00:00",Zócalos,null
7683,Zócalo de aluminio 120 mm liso,PZ12LM,GB1ACC0005,8.03,6.98,Global EMR,"31 mar 2023, 21:00:00",Zócalos,null
7686,Pata plástica regulable para mueble,PR10.15G,GB1ACC0008,1.29,1.12,Global EMR,"31 mar 2023, 21:00:00",Zócalos,null
754,"Zorra BAROVO Capacidad 2500 kg, 68,5 cm ancho entre cuñas",KU-Z25A,BR1ZOR0002,190,121,Barovo,"8 nov 2019, 19:30:00",Zorras,null
1443,Zorra Carretilla Carro Plegable 300 Kg,ZCP-30,BR1ZOR0006,62,31.5,Barovo,"26 oct 2018, 16:00:00",Zorras,null
1441,Zorra con Balanza BAROVO Capacidad 2500 kg,BU-CB25,KU1ZOR0009,750,1,Barovo,"21 sept 2017, 20:51:36",Zorras,null
1439,"Zorra BAROVO Capacidad 3000 kg, 68,5 cm ancho entre cuñas",BU-Z30,BR1ZOR0003,198,125,Barovo,"8 nov 2019, 19:30:00",Zorras,null
3149,Zorra hidráulica Barovo ZB-25A,ZB-25A,BR1ZOR0012,320,153.24,Barovo,"21 sept 2024, 17:00:00",Zorras,null
894,"Zorra BAROVO Capacidad 2500 kg, 55 cm ancho entre cuñas",KU-Z25,BR1ZOR0001,187,118,Barovo,"8 nov 2019, 19:30:00",Zorras,null
3148,"Zorra hidráulica 2,5 t - ZB-25",ZB-25,BR1ZOR0011,278.602,148.96,Barovo,"12 sept 2025, 21:00:00",Zorras,null
1442,Zorra Carretilla Carro Plegable 150 Kg,ZCP-15,BR1ZOR0005,39.5,21.5,Barovo,"26 oct 2018, 16:00:00",Zorras,null
3120,Zorra hidráulica 3 t ZB-30,ZB-30,BR1ZOR0013,304.0001,161.21,Barovo,"12 sept 2025, 21:00:00",Zorras,null
1967,Zapapico hacha y pala ancha Nº 4,77305/543,TR1ZPP0003,9.55,6.79,Tramontina,"10 jul 2020, 22:00:00",Zapapicos,null
1966,Zapapico punta y pala ancha nº 4,77303/503,TR1ZPP0002,13.2,7.98,Tramontina,"30 ago 2024, 21:00:00",Zapapicos,null
1968,Zapapico hacha y pala ancha Nº 4 sin cabo,77305/403,TR1ZPP0004,5.95,4.64,Tramontina,"10 jul 2020, 22:00:00",Zapapicos,null
1965,Zapapico punta y pala ancha nº 5,77303/553,TR1ZPP0001,21,12.65,Tramontina,"30 ago 2024, 21:00:00",Zapapicos,null
7912,Pelota de vóley N° 5,EPVI-V1T5,ME1PTA0015,7.56,3.28,MEISO,"12 oct 2024, 17:00:00",Vóley,null
13623,Surtido rodillera deportiva talle S y L,ERDT-2TSL,KT1APD0006,4.6046,2.16,Kuest,"1 ago 2025, 21:00:00",Vóley,null
11313,Pelota de vóley N° 5 EPVI-V2T5,EPVI-V2T5,ME1PTA0020,6.3528,2.86,MEISO,"10 may 2024, 21:00:00",Vóley,null
13622,Pelota de vóley N° 5 EPVI-V3T5,EPVI-V3T5,KT1PTA0003,5.5488,2.69,Kuest,"1 ago 2025, 21:00:00",Vóley,null
4493,Válvula + tecla para descarga de inodoro ED,VDI-ED,GA1ACS0098,65.9979,37.12,Gloa,"6 sept 2024, 21:00:00",Válvulas de inodoro,null
4489,Válvula + tecla para descarga de inodoro Y13,VDI-Y13,GA1ACS0094,40.5,26.28,Gloa,"14 ene 2022, 21:00:00",Válvulas de inodoro,null
4494,Válvula + tecla para descarga de inodoro Y31,VDI-Y31,GA1ACS0096,85,44.5,Gloa,"24 mar 2023, 21:00:00",Válvulas de inodoro,null
4491,Válvula + tecla para descarga de inodoro Y15,VDI-Y15,GA1ACS0095,46.5,30.06,Gloa,"19 ago 2022, 21:00:00",Válvulas de inodoro,null
4495,Válvula + tecla para descarga de inodoro Y32,VDI-Y32,GA1ACS0097,93,50.2,Gloa,"24 mar 2023, 21:00:00",Válvulas de inodoro,null
2798,"Válvula de retención vástago de bronce 1""",VRLT-1,GA1ACS0088,5.05,2.6,Gloa,"23 jun 2023, 21:00:00",Válvulas de Retención,null
2794,"Válvula de retención vástago de ABS 1/2""",VRPL-1/2,GA1ACS0083,2.25,1.28,Gloa,"12 ene 2024, 21:00:00",Válvulas de Retención,null
14224,"Válvula de retención con filtro 3/4""",BVRI-VF34,,1.7528,1.1,Gloa,"27 ene 2026, 12:26:00",Válvulas de Retención,null
2795,"Válvula de retención vástago de ABS 3/4""",VRPL-3/4,GA1ACS0084,3.1,1.78,Gloa,"12 ene 2024, 21:00:00",Válvulas de Retención,null
2797,"Válvula de retención vástago de bronce 3/4""",VRLT-3/4,GA1ACS0087,3.7,1.9,Gloa,"23 jun 2023, 21:00:00",Válvulas de Retención,null
2796,"Válvula de retención vástago de bronce 1/2""",VRLT-1/2,GA1ACS0086,2.85,1.47,Gloa,"23 jun 2023, 21:00:00",Válvulas de Retención,null
14223,"Válvula de retención con filtro 1/2""",BVRI-VF12,,1.4021,0.86,Gloa,"27 ene 2026, 12:26:00",Válvulas de Retención,null
