"Nombre","Volumen","Unidad de medida","Referencia interna","D365 Reference","Box Qty","Pronosticado con pendiente"
"Kit de herramientas 111 piezas (x4u)","0.045087","Unidades","MHMK-111P","MHMK-111P","4.0","9.0"
"Resma de papel A4 Pampa (x10u)","0.06","Unidades","PM1CNM0001","97101","10.0","0.0"
"'-10% Descuento","0.0","Unidades","Descuento 10%","","1.0","0.0"
"'-20% Descuento","0.0","Unidades","Descuento 20%","","1.0","2.0"
"'-25% Descuento","0.0","Unidades","Descuento 25%","","1.0","0.0"
"'-5% Descuento","0.0","Unidades","Descuento 5%","","1.0","0.0"
"Abrelatas (x24u)","0.01045","Unidades","VN1UTC0033","CUTI-ALAC","24.0","0.0"
"Abrelatas manual doble engranaje (x24u)","0.019227","Unidades","VN1UTC0016","CCN113","24.0","0.0"
"Acanaladora de pared 1500 W (x2u)","0.013284","Unidades","BR1ACN0001","DAMI-1500","2.0","0.0"
"Accesorio cortacercos para amoladora con rosca M10 y M14 (x20u)","0.15717","Unidades","MI1AMO0005","DACI-0430","20.0","4.0"
"Accesorio de sierra para amoladora con rosca M14 (x16u)","0.060088","Unidades","MI1AMO0003","DASI-0012","16.0","4.0"
"Accesorio multiherramienta para amoladora con rosca M14 (x50u)","0.062208","Unidades","MI1AMO0004","DAMI-MULT","50.0","1.0"
"Acople de compresión 1/2"" estándar (x30u)","0.0175","Unidades","MP1ACS0002","AO-0012/00","30.0","0.0"
"Acople unión para manguera de 1/2"" (x250u)","0.0575","Unidades","KU1ARG0004","AUM01","250.0","0.0"
"Adaptador remachadora para taladro (x20u)","0.037475625","Unidades","BR1ACC0026","DREI-REMA","20.0","0.0"
"Adaptador ángulo recto para atornillador (x36u)","0.037475625","Unidades","BR1ACC0023","DAAI-AD90","36.0","0.0"
"Adaptador ángulo recto para taladro (x20u)","0.03402","Unidades","BR1ACC0024","DATI-AD90","20.0","0.0"
"Adhesivo instantáneo multiuso 20 g (x100u)","0.0322245","Unidades","BR1CNM0070","CIA-020G","100.0","0.0"
"Agarradera angular (x10u)","0.056","Unidades","GA1ACB0017","AAI-045","10.0","15.0"
"Agarradera angular blanca (x10u)","0.05586","Unidades","GA1ACB0022","AAB-045","10.0","0.0"
"Agarradera angular con jabonera (x10u)","0.091","Unidades","GA1ACB0018","AAI-045J","10.0","6.0"
"Agarradera angular con jabonera blanca (x10u)","0.087808","Unidades","GA1ACB0023","AAB-045J","10.0","2.0"
"Agarradera recta de 30 cm (x20u)","0.04674","Unidades","GA1ACB0014","ARI-030","20.0","1.0"
"Agarradera recta de 45 cm (x20u)","0.0677","Unidades","GA1ACB0015","ARI-045","20.0","2.0"
"Agarradera recta de 45 cm blanca (x20u)","0.06860365","Unidades","GA1ACB0020","ARB-045","20.0","0.0"
"Agrotileno 100 micrones de 4 m y 100 m de largo negro","0.1024","Unidades","KU1AGR0005","MAEI-4101","1.0","0.0"
"Air fryer 8 litros (x2u)","0.09916","Unidades","VN1ELD0020","CFAI-08LN","2.0","91.0"
"Air fryer dual zone 11 L","0.0686","Unidades","VN1ELD0024","CFAI-11DZ","1.0","486.0"
"Aireador y dispensador compacto automático (x28u)","0.033","Unidades","VN1UTC0050","CVCI-AUSB","28.0","1.0"
"Aislante térmico para camping EVA + aluminio (x15u)","0.2030695","Unidades","KU1CNT0002","CM01T","15.0","0.0"
"Aletas de natación negro talle L (x10u)","0.05683275","Unidades","ME1EQN0007","DALNTLN","10.0","0.0"
"Aletas de natación negro talle M (x10u)","0.0427125","Unidades","ME1EQN0006","DALNTMN","10.0","0.0"
"Aletas de natación negro talle S (x10u)","0.038016","Unidades","ME1EQN0005","DALNTSN","10.0","0.0"
"Aletas de natación negro talle XL (x10u)","0.06764","Unidades","ME1EQN0008","DALNTXLN","10.0","0.0"
"Alfombra de baño de bambú (x12u)","0.037125","Unidades","VN1ALF0001","BABI-6040","12.0","1.0"
"Alfombra de baño marfil (x50u)","0.0945","Unidades","VN1ALF0003","CABI-64MA","50.0","2.0"
"Alfombra de baño marrón (x30u)","0.0653625","Unidades","VN1ALF0005","CABI-64PU","30.0","0.0"
"Alicate 6"" (x48u)","0.0277875","Unidades","BR1ALC0002","DHMI-A6IF","48.0","0.0"
"Alicate dieléctrica 6"" (x6 u)","0.0329175","Unidades","BR1ALC0001","DHDI-AD6I","6.0","39.0"
"Alisador de 24""","0.344916","Unidades","BR1ALI0002","BUPT24","1.0","1.0"
"Alisador de 46""","1.03056","Unidades","BR1ALI0004","BUPT46","1.0","0.0"
"Almohada cervical de viaje FAVT-AOGO (x50u)","0.306","Unidades","VN1ADV0001","FAVT-AOGO","50.0","3.0"
"Alquiler","0.0","Unidades","","","1.0","0.0"
"Amoladora angular 4 1/2"" - IONMAX (x6u)","0.0717225","Unidades","BR1AMO0020","BIM-A412","6.0","11.0"
"Amoladora angular 4 1/2"" - Ion litio (x4u)","0.0242475","Unidades","BR1AMO0009","BIL-AA4","4.0","0.0"
"Amoladora angular 4 1/2"" con cargador y baterías (x5u)","0.0773","Unidades","MI1AMO0006","DABI-0020V","5.0","0.0"
"Amoladora de banco 550 W","0.03","Unidades","BR1AMO0011","AB550","1.0","0.0"
"Amoladora de banco con mini torno flexible (x4u)","0.05956075","Unidades","BR1AMO0012","ABI-T120","4.0","0.0"
"Amoladora eléctrica Barovo 4 1/2 "" 1100 W (x6u)","0.03825","Unidades","BR1AMO0018","MAEI-AA11","6.0","0.0"
